groups        	ID	Name
Small molecule	7PE	HEXAETHYLENE GLYCOL MONOETHYL ETHER
Small molecule	8BR	8-BROMOADENOSINE 5'-(DIHYDROGEN PHOSPHATE)
Small molecule	8DG	8-OXO-2'-DEOXYGUANOSINE-5'-TRIPHOSPHATE
Small molecule	8GT	8-OXO-GUANOSINE-5'-TRIPHOSPHATE
Small molecule	8K6	OCTADECANE;N-OCTADECANE
Small molecule	8OG	8-HYDROXYDEOXYGUANOSINE 5'-MONOPHOSPHATE
Small molecule	8PR	PAROXETINE;(3S,4R)-3-[(1,3-BENZODIOXOL-5-YLOXY)METHYL]-4-(4- FLUOROPHENYL)PIPERIDINE
Small molecule	8XQ	8-HYDROXYQUINOLINE-5-CARBOXYLIC ACID
Small molecule	9MG	9-METHYLGUANINE
Small molecule	9MR	(3R,4R,5R)-3-HYDROXY-5-(HYDROXYMETHYL)PIPERIDIN-4-YLBETA-D-GLUCOPYRANOSIDE
Small molecule	A	ADENOSINE-5'-MONOPHOSPHATE
Small molecule	A12	ADENOSINE 5'-METHYLENEDIPHOSPHATE
Small molecule	A1R	[(2R,3R,4S)-3,4-DIHYDROXYPYRROLIDIN-2-YL]METHYL-ADP
Small molecule	A2G	ALPHA-GALNAC
Small molecule	A2P	ADENOSINE-2'-5'-DIPHOSPHATE
Small molecule	A2R	[(2R,3R,4R,5R)-5-(6-AMINO-9H-PURIN-9-YL)-3-HYDROXY-4-(PHOSPHONOOXY)TETRAHYDROFURAN-2-YL]METHYL [(2R,3S,4R,5R)-3,4,5-TRIHYDROXYTETRAHYDROFURAN-2-YL]METHYLDIHYDROGEN DIPHOSPHATE
Small molecule	A3P	ADENOSINE 3',5'-BISPHOSPHATE
Small molecule	A5A	'5'-O-(N-(L-ALANYL)-SULFAMOYL)ADENOSINE
Small molecule	A5P	ARABINOSE-5-PHOSPHATE
Small molecule	AAE	ACETOACETIC ACID
Small molecule	AAG	N-ACETYL-L-ARGININE
Small molecule	AAL	3,6-ANHYDRO-L-GALACTOSE
Small molecule	ABA	D-ALPHA-AMINOBUTYRIC ACID
Small molecule	ABN	BENZYLAMINIUM
Small molecule	ABU	GAMMA-AMINOBUTYRIC ACID
Small molecule	ABV	1,3-BENZOTHIAZOL-2-AMINE
Small molecule	AC1	N-[4-HYDROXYMETHYL-CYCLOHEXAN-6-YL-1,2,3-TRIOL]-4,6-DIDEOXY-4-AMINOGLUCOPYRANOSIDE
Small molecule	AC2	9-HYROXYETHOXYMETHYLGUANINE
Small molecule	AC6	4'-HYDROXYACETOPHENONE
Small molecule	ACA	6-AMINOHEXANOIC ACID
Small molecule	ACD	ARACHIDONIC ACID
Small molecule	ACE	ACETYL GROUP
Small molecule	ACH	ACETYLCHOLINE
Small molecule	ACK	2',3'-CYCLIC AMP
Small molecule	ACN	ACETONE
Small molecule	ACO	ACETYL COENZYME *A
Small molecule	ACP	ADENOSINE 5'-[BETA,GAMMA-METHYLENE]TRIPHOSPHATE
Small molecule	ACR	ACARBOSE
Small molecule	ACT	ACETATE
Small molecule	ADA	ALPHA-D-GALACTURONIC ACID
Small molecule	ADE	ADENINE
Small molecule	ADN	ADENOSINE
Small molecule	ADP	ADP
Small molecule	ADQ	ADENOSINE-5'-DIPHOSPHATE-GLUCOSE
Small molecule	AES	PEFABLOC
Small molecule	AF3	ALUMINIUM TRIFLUORIDE
Small molecule	AG2	AGMATINE
Small molecule	AGH	N-{(1S,2R,3S)-1-[(ALPHA-D-GALACTOPYRANOSYLOXY)METHYL]-2,3-DIHYDROXYHEPTADECYL}HEXACOSANAMIDE
Small molecule	AGI	APIGENIN
Small molecule	AGS	ADENOSINE 5'-[GAMMA-THIO]TRIPHOSPHATE
Small molecule	AH0	1,6-ANHYDRO-N-ACETYL-BETA-MURAMIC ACID
Small molecule	AHD	ALENDRONIC ACID
Small molecule	AHR	ALPHA-L-ARABINOFURANOSE
Small molecule	AIN	ACETYLSALICYLIC ACID
Small molecule	AIX	(2R,4S)-2-[(1R)-1-{[(2R)-2-AMINO-2-PHENYLACETYL]AMINO}-2-OXOETHYL]-5,5-DIMETHYL-1,3-THIAZOLIDINE-4-CARBOXYLICACID
Small molecule	AKG	2-OXOGLUTARIC ACID
Small molecule	AKR	ACRYLIC ACID
Small molecule	ALA	L-ALANINE RESIDUE
Small molecule	ALE	ADRENALINE
Small molecule	ALF	TETRAFLUOROALUMINATE(1-)
Small molecule	ALL	D-ALLOPYRANOSE
Small molecule	ALO	L-ALLOTHREONINE
Small molecule	ALY	N(6)-ACETYL-L-LYSINE
Small molecule	AMG	METHYL ALPHA-D-GALACTOSIDE
Small molecule	AMP	AMP
Small molecule	AMU	N-ACETYL-BETA-MURAMIC ACID
Small molecule	AMV	METHYL 2-(ACETYLAMINO)-3-O-[(1R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSIDE
Small molecule	AMZ	5-AMINO-1-(5-PHOSPHO-D-RIBOSYL)IMIDAZOLE-4-CARBOXAMIDE
Small molecule	AN2	AMP PHOSPHORAMIDATE
Small molecule	ANN	4-METHOXYBENZOIC ACID
Small molecule	ANP	AMP-PNP
Small molecule	ANW	2-AMINO-7-(1-METHYLETHYL)-5-OXO-5H-CHROMENO[2,3-B]PYRIDINE-3-CARBOXYLIC ACID
Small molecule	AOV	ADP ORTHOVANADATE
Small molecule	AP2	ADENOSINE 5'-METHYLENEDIPHOSPHATE
Small molecule	AP5	BIS(ADENOSINE)-5'-PENTAPHOSPHATE
Small molecule	APC	ALPHA,BETA-METHYLENE ATP
Small molecule	API	2,6-DIAMINOPIMELIC ACID
Small molecule	APR	ADP-RIBOSE
Small molecule	AR6	[(2R,3S,4R,5R)-5-(6-AMINOPURIN-9-YL)-3,4-DIHYDROXY-OXOLAN-2-YL]METHYL [HYDROXY-[[(2R,3S,4R,5S)-3,4,5-TRIHYDROXYOXOLAN-2-YL]METHOXY]PHOSPHORYL] HYDROGEN PHOSPHATE
Small molecule	ARA	ALPHA-L-ARABINOPYRANOSE
Small molecule	ARG	ARGININE
Small molecule	ART	ARSENATE ION
Small molecule	ASC	ASCORBIC ACID
Small molecule	ASD	ANDROST-4-ENE-3,17-DIONE
Small molecule	ASE	N-ACETYL SEROTONIN
Small molecule	ASG	N-ACETYLGALACTOSAMINE 4-SULFATE
Small molecule	ASN	L-ASPARAGINYL GROUP
Small molecule	ASO	1,5-ANHYDRO-D-GLUCITOL
Small molecule	ASP	L-ASPARTIC ACID
Small molecule	AST	ARSENITE(3-)
Small molecule	AT5	3-[(2S,4S,5R)-5,6-DICHLORO-2,4-DIMETHYL-1-OXOHEXYL]-4-HYDROXY-5,6-DIMETHOXY-2(1H)-PYRIDINONE
Small molecule	ATP	ATP
Small molecule	ATR	2'-MONOPHOSPHOADENOSINE-5'-DIPHOSPHATE
Small molecule	AX7	2-AMINOBENZIMIDAZOLE
Small molecule	AXL	2-{1-[2-AMINO-2-(4-HYDROXY-PHENYL)-ACETYLAMINO]-2-OXO-ETHYL}-5,5-DIMETHYL-THIAZOLIDINE-4-CARBOXYLIC ACID
Small molecule	AYE	PROP-2-EN-1-AMINE
Small molecule	AZA	8-AZAXANTHINE
Small molecule	AZI	AZIDE
Small molecule	AZM	ACETAZOLAMIDE
Small molecule	B12	COBALAMIN
Small molecule	B29	[2-(3-DIBENZO[B,D]FURAN-4-YLPHENYL)-1-HYDROXYETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)
Small molecule	B3N	4-(DIMETHYLAMINO)-N-[7-(HYDROXYAMINO)-7-OXOHEPTYL]BENZAMIDE
Small molecule	B3P	BIS-TRIS PROPANE
Small molecule	B49	SUNITINIB
Small molecule	B4P	DIADENOSINE TETRAPHOSPHATE
Small molecule	B6D	2,4-BIS(ACETYLAMINO)-2,4,6-TRIDEOXY-BETA-D-GLUCOPYRANOSE
Small molecule	B96	1-(5-TERT-BUTYL-2-P-TOLYL-2H-PYRAZOL-3-YL)-3-[4-(2-MORPHOLIN-4-YL-ETHOXY)-NAPHTHALEN-1-YL]-UREA
Small molecule	BAL	BETA-ALANINE
Small molecule	BAP	1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE
Small molecule	BB2	ACTINONIN
Small molecule	BCD	BETA-CYCLODEXTRIN
Small molecule	BCT	HYDROGENCARBONATE
Small molecule	BDF	BETA-D-FRUCTOPYRANOSE
Small molecule	BDP	BETA-D-GLUCURONIC ACID
Small molecule	BDR	BETA-D-RIBOSE
Small molecule	BEF	TRIFLUOROBERYLLATE(1-)
Small molecule	BEM	BETA-D-MANNURONIC ACID
Small molecule	BEN	BENZENE
Small molecule	BER	BERBERINE
Small molecule	BES	2-(3-AMINO-2-HYDROXY-4-PHENYL-BUTYRYLAMINO)-4-METHYL-PENTANOIC ACID
Small molecule	BET	N,N,N-TRIMETHYLGLYCINIUM
Small molecule	BEZ	BENZOIC ACID
Small molecule	BFQ	IBANDRONATE
Small molecule	BG6	BETA-D-GLUCOSE 6-PHOSPHATE
Small molecule	BGC	BETA-D-GLUCOSE
Small molecule	BHA	4-AMINOSALICYLIC ACID
Small molecule	BHO	N-HYDROXYBENZAMIDE
Small molecule	BLA	BILIVERDIN
Small molecule	BLG	BULGECIN A
Small molecule	BM3	N-ACETYL-ALPHA-D-MANNOSAMINE
Small molecule	BMA	BETA-D-MANNOSE
Small molecule	BME	MERCAPTOETHANOL
Small molecule	BMF	BROMOSPORINE
Small molecule	BML	4-BROMOPHENOL
Small molecule	BMX	N-ACETYL-ALPHA-D-MANNOSAMINE 6-PHOSPHATE
Small molecule	BO2	BORTEZOMIB
Small molecule	BO3	BORIC ACID
Small molecule	BOG	B-OCTYLGLUCOSIDE
Small molecule	BPY	BIPHENYL-2,3-DIOL
Small molecule	BR	BROMIDE
Small molecule	BRJ	2-BROMOETHANOL
Small molecule	BRN	DIMINAZENE
Small molecule	BT5	BIOTINYL-5-AMP
Small molecule	BTB	BIS-TRIS
Small molecule	BTI	5-(HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOL-6-YL)PENTANAL
Small molecule	BTM	N-BENZYL-N,N-DIETHYLETHANAMINIUM
Small molecule	BTN	BIOTINATE
Small molecule	BU2	BUTANE-1,3-DIOL
Small molecule	BU3	(R,R)-BUTANE-2,3-DIOL
Small molecule	BU9	MESO-2,3-BUTANEDIOL
Small molecule	BUA	BUTYRIC ACID
Small molecule	BUD	(S,S)-BUTANE-2,3-DIOL
Small molecule	BUL	BULGECIN A
Small molecule	BVF	2-AMINO-4-PICOLINE
Small molecule	BXA	BROMOACETIC ACID
Small molecule	BXP	BETA-D-XYLOBIOPYRANOSE
Small molecule	BYC	S-BENZOATE COENZYME A
Small molecule	BYZ	4-BROMO-1H-PYRAZOLE
Small molecule	BZ2	COUMARILIC ACID
Small molecule	BZI	BENZIMIDAZOLE
Small molecule	C0R	CORTICOSTERONE
Small molecule	C15	LAURYL SULFOBETAINE
Small molecule	C2E	C-DI-GMP
Small molecule	C2F	LEVOMEFOLIC ACID
Small molecule	C2R	5-AMINO-1-(5-PHOSPHO-D-RIBOSYL)IMIDAZOLE-4-CARBOXYLIC ACID
Small molecule	C5P	CMP
Small molecule	C6P	N-({3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYL)-L-CYSTEINE
Small molecule	CAA	ACETOACETYL-COENZYME A
Small molecule	CAC	DIMETHYLARSINATE
Small molecule	CAO	OXIDIZED COENZYME A
Small molecule	CAQ	CATECHOL
Small molecule	CAT	DOTAC COMPOUND
Small molecule	CAZ	ACYLATED CEFTAZIDIME
Small molecule	CBI	CELLOBIOSE
Small molecule	CBK	ALPHA-CELLOBIOSE
Small molecule	CBS	N-ACETYL-BETA-D-GLUCOSAMINYL-(1-&gt;4)-N-ACETYL-BETA-D-GLUCOSAMINE
Small molecule	CBY	COB(II)INAMIDE
Small molecule	CDL	CARDIOLIPIN
Small molecule	CDP	CDP
Small molecule	CE3	CEFOTAXIME SODIUM
Small molecule	CE6	CELLOHEXAOSE
Small molecule	CEF	CEFOTAXIME GROUP
Small molecule	CEX	ALPHA-MALTOPENTAOSE
Small molecule	CFF	CAFFEINE
Small molecule	CH1	3'-DCTP
Small molecule	CHD	CHOLIC ACID
Small molecule	CHO	GLYCOCHENODEOXYCHOLIC ACID
Small molecule	CHT	CHOLINE
Small molecule	CIT	CITRIC ACID
Small molecule	CIY	CONIFERYL ALDEHYDE
Small molecule	CL	CHLORIDE
Small molecule	CL6	CLOTRIMAZOLE
Small molecule	CLA	CHLOROPHYLL A
Small molecule	CLM	CHLORAMPHENICOL
Small molecule	CLR	CHOLESTEROL
Small molecule	CLT	4-PHENYLBUTYRIC ACID
Small molecule	CM5	5-CYCLOHEXYL-1-PENTYL-BETA-D-MALTOSIDE
Small molecule	CMC	CARBOXYMETHYL COENZYME *A
Small molecule	CMO	CARBON MONOXIDE
Small molecule	CMP	3',5'-CYCLIC AMP
Small molecule	CMX	CARBOXYMETHYLDETHIA COENZYME *A
Small molecule	CNA	CARBA-NICOTINAMIDE-ADENINE-DINUCLEOTIDE
Small molecule	CNC	CYANOCOB(III)ALAMIN
Small molecule	CO2	CARBON DIOXIDE
Small molecule	CO3	CARBONATE
Small molecule	CO6	ISOBUTYRYL-COENZYME A
Small molecule	CO8	OCTANOYL-COA
Small molecule	COA	COENZYME A
Small molecule	COB	METHYLCOBALAMIN
Small molecule	COD	DEPHOSPHO COENZYME A
Small molecule	COH	PROTOPORPHYRIN IX CONTAINING CO
Small molecule	COM	COENZYME M
Small molecule	COO	TRANS-BUTYR-2-ENOYL-COA
Small molecule	CP	CARBAMOYL  PHOSPHATE
Small molecule	CPL	1-PALMITOYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOCHOLINE
Small molecule	CPQ	N,N-BIS[3-(D-GLUCONAMIDO)PROPYL]DEOXYCHOLAMIDE
Small molecule	CPS	CHAPS
Small molecule	CPT	CISPLATIN
Small molecule	CRT	SPIRILLOXANTHIN
Small molecule	CT3	CELLOTRIOSE
Small molecule	CTC	CHLORTETRACYCLINE
Small molecule	CTN	CYTIDINE
Small molecule	CTO	TRIACETYLCHITOTRIOSE
Small molecule	CTP	CTP
Small molecule	CTR	CELLOTRIOSE
Small molecule	CTT	ALPHA-MALTOTETRAOSE
Small molecule	CUA	DINUCLEAR COPPER ION
Small molecule	CVI	CRYSTAL VIOLET
Small molecule	CYC	PHYCOCYANOBILIN
Small molecule	CYH	CYCLOHEXANONE
Small molecule	CYN	CYANIDE
Small molecule	CYS	CYSTEINE
Small molecule	CYT	6-AMINOPYRIMIDIN-2(1H)-ONE
Small molecule	D3T	DDTTP
Small molecule	D5M	DAMP
Small molecule	DA	DAMP
Small molecule	DAH	L-DOPA
Small molecule	DAL	D-ALANINE RESIDUE
Small molecule	DAN	DANA
Small molecule	DAO	LAURIC ACID
Small molecule	DAR	D-ARGININE
Small molecule	DAS	D-ASPARTIC ACID RESIDUE
Small molecule	DB8	BOSUTINIB
Small molecule	DBS	N-(2,3-DIHYDROXYBENZOYL)-L-SERINE
Small molecule	DBV	15,16-DIHYDROBILIVERDIN
Small molecule	DC	DCMP
Small molecule	DCA	DESULFO-COENZYME A
Small molecule	DCC	DODECANOYL-COA
Small molecule	DCM	DCMP
Small molecule	DCP	DCTP
Small molecule	DCT	2',3'-DIDEOXYCYTIDINE 5'-TRIPHOSPHATE
Small molecule	DCZ	2'-DEOXYCYTIDINE
Small molecule	DDS	DDATP
Small molecule	DG	2'-DEOXYGUANOSINE-5'-MONOPHOSPHATE
Small molecule	DGI	DGDP
Small molecule	DGJ	1-DEOXYGALACTONOJIRIMYCIN
Small molecule	DGL	D-GLUTAMIC ACID RESIDUE
