,Ligand,Threshold,Average_ARI
201,MPG,11.0,0.823466544413791
202,PEP,10.0,1.0
203,TFA,8.5,1.0
204,GMP,10.5,1.0
205,PEG,10.0,0.9746783731691359
206,CTN,9.0,0.9879753921361065
207,GSP,10.5,0.9903241412675375
208,2HP,9.5,0.9723717696861361
209,IPH,8.0,0.967820517464597
210,UMP,11.0,0.9564528649687324
211,MOO,10.5,0.971727348617975
212,A3P,11.5,1.0
213,BLA,12.0,1.0
214,F,8.0,0.8682391694416656
215,CAQ,13.0,0.9590457378166699
216,DXC,12.0,0.8452963770008763
217,OLA,12.5,0.9222011484060525
218,FPP,11.0,1.0
219,IFM,9.5,0.9847525942874825
220,IPE,10.5,0.9041895980862624
221,AR6,12.5,0.9774497340521497
222,FEO,7.5,1.0
223,DPO,10.0,1.0
224,GTX,11.5,0.9599110891934629
225,EOH,10.0,0.9802260641508075
226,DIO,13.0,0.8864205130778423
227,BTN,9.5,1.0
228,TRS,11.0,0.9843203450738324
229,URE,10.0,0.9088782312797878
230,GCU,13.5,0.9285503089318535
231,PDO,9.5,0.9546651510925609
232,NIO,9.0,1.0
233,SLB,10.0,1.0
234,DAN,10.5,1.0
235,GCS,13.0,0.8632114728597774
236,CS,7.5,1.0
237,RIB,10.0,0.9712211392256647
238,OCA,10.0,1.0
239,OGA,9.5,1.0
240,G4P,17.0,0.9831958288899311
241,BUA,12.0,0.9515324676925537
242,GOA,10.0,1.0
243,CTT,11.5,1.0
244,FPS,12.0,0.9779169435967363
245,GDS,11.5,0.9748318700376761
246,TMO,10.5,0.9619805673100519
247,ADA,14.0,0.5781040773513927
248,3PG,11.5,0.9773415630481407
249,ORN,10.5,1.0
250,IMP,9.5,0.9615772971990569
251,G3H,9.5,1.0
252,LMR,9.0,1.0
253,PRP,9.0,1.0
254,GLV,10.5,0.9727862772495791
255,TDP,9.5,1.0
256,G2F,9.5,1.0
257,THR,8.0,1.0
258,FER,11.5,1.0
259,AHR,11.5,0.9403007022529223
260,TDR,9.0,1.0
261,POL,10.0,0.9423421761155789
262,KAN,10.5,0.9833178709934297
263,XYL,10.5,0.944086401277109
264,PPV,10.0,1.0
265,B4P,13.0,1.0
266,ABU,12.0,0.9504633193078533
267,MLR,10.0,0.972603841699027
268,RET,10.0,1.0
269,FBP,11.0,1.0
270,IND,10.5,0.9654653670707976
271,PGA,10.5,1.0
272,MGD,13.5,0.7625379176276742
273,BTB,12.0,1.0
274,M7G,10.0,1.0
275,DHB,10.5,0.9707106781186547
276,PCG,10.0,1.0
277,A2P,11.0,0.9798349946679172
278,G1P,11.0,1.0
279,URI,10.0,1.0
280,MN3,8.5,0.9321320337374643
281,CDL,14.0,1.0
282,THG,10.5,1.0
283,BU2,12.0,0.9463363661019011
284,SAL,10.0,1.0
285,MGF,10.0,1.0
286,SPD,9.5,1.0
287,UQ1,12.0,1.0
288,HEB,10.5,1.0
289,1PS,10.5,1.0
290,DUP,9.5,1.0
291,D5M,10.0,1.0
292,FNR,9.5,1.0
293,IM2,11.5,1.0
294,GTG,11.5,1.0
295,STR,10.5,1.0
296,ARA,10.0,0.991872790464621
297,ACD,14.5,0.9634102315926233
298,MTX,10.5,1.0
299,AG,7.5,0.9262890428152305
300,PDC,11.0,0.7420138209562052
301,PMS,9.0,0.9656379736549392
302,4IP,12.0,0.9852665508915448
303,DUR,9.5,1.0
304,BEN,8.5,0.9629629629629629
305,PPY,11.0,0.9663257836041299
306,MLC,11.5,0.9916805309481186
307,PIN,12.5,0.9920529656539175
308,AMU,10.5,0.9263671170086154
309,SOR,12.5,0.8980611746605577
310,COM,8.0,1.0
311,BG6,10.0,1.0
312,DUT,13.0,0.9358215887500142
313,PNM,9.5,1.0
314,F6R,9.0,1.0
315,GDU,11.5,1.0
316,MAG,11.0,1.0
317,GPP,10.5,1.0
318,CTR,10.5,0.9657293416453471
319,RB,7.5,0.9338108582776881
320,R5P,9.5,1.0
321,MTT,11.5,0.9718173110867059
322,M6P,10.0,1.0
323,GRG,11.5,0.940773775952681
324,OXD,10.5,1.0
325,RP5,9.5,1.0
326,MO,10.0,1.0
327,PLR,9.5,1.0
328,DST,10.5,0.9671991318327294
329,PER,8.5,1.0
330,GDD,11.0,1.0
331,LP5,14.0,1.0
332,PD2,9.0,1.0
333,CPT,7.5,0.947431413670399
334,I6P,11.5,1.0
335,CYT,8.5,1.0
336,GTS,10.5,0.9814142882988361
337,FAR,9.5,0.75
338,OXM,9.5,1.0
339,NOS,10.0,0.9853060458488616
340,AP5,12.5,1.0
341,GUA,11.5,1.0
342,HSM,9.0,0.9102330051645436
343,C2F,11.5,0.9650720865153615
344,A,10.0,1.0
345,DCT,11.5,1.0
346,CBS,9.5,0.9753466214899358
347,HOA,13.0,1.0
348,SIN,9.0,1.0
349,GER,11.0,0.875
350,DIF,10.0,0.9333516960192586
351,CO2,9.0,0.9633883476483185
352,SGC,12.0,0.8345239015105402
353,IBP,10.5,1.0
354,ASD,10.5,1.0
355,1BO,10.0,0.9627455147703792
356,G,12.0,1.0
357,BES,10.0,1.0
358,NMN,10.0,1.0
359,URF,9.5,1.0
360,IPT,9.0,0.9273095097778474
361,EDT,9.5,1.0
362,PB,8.5,0.9212435963532722
363,SR,9.0,0.9730580675690921
364,SPM,10.0,1.0
365,PCI,9.0,0.9648993690285095
366,LDP,10.0,1.0
367,AES,11.5,0.9576797284707684
368,NHE,13.0,0.9196760536951399
369,3HB,9.5,1.0
370,1GP,8.0,1.0
371,BXP,10.0,1.0
372,IAC,10.5,1.0
373,AN2,10.0,1.0
374,TCE,9.0,1.0
375,HC4,11.0,1.0
376,NGT,9.5,1.0
377,GAI,9.0,1.0
378,PXG,10.0,0.9782543826440497
379,PUT,11.5,1.0
380,AP2,10.5,1.0
381,MGT,11.5,0.9810569940034147
382,OPE,10.5,1.0
383,CTO,11.5,0.9586379967431743
384,AMG,8.5,1.0
385,CNC,12.5,1.0
386,ACA,8.0,0.9194330643848322
387,CLM,11.0,0.9237916624678879
388,COH,10.0,1.0
389,HBI,11.0,0.9506648101011396
390,DTR,9.0,1.0
391,PGO,12.0,0.8930270376988104
392,ASG,11.0,0.7972623192698257
393,LGC,9.5,0.9726129109807823
394,STE,13.5,0.884821708227283
395,API,10.5,1.0
396,2AN,9.5,0.9610866964441428
397,3AT,15.0,0.9366573422326306
398,ACN,10.5,1.0
399,DA,9.0,1.0
400,IDR,11.0,0.9718247102742124
401,THJ,9.5,0.8784076159325711
402,F42,11.5,1.0
403,DHC,10.0,0.9474936474333823
404,XMP,10.0,1.0
405,TOY,11.0,0.9614709633343174
406,BDF,9.0,1.0
407,UQ2,10.5,1.0
408,DSN,11.5,1.0
409,BET,10.0,0.9714285714285714
410,3D1,11.0,1.0
411,SKM,11.0,1.0
412,DMA,11.0,0.9541951743552511
413,U2F,10.0,1.0
414,GST,13.0,1.0
415,PGE,11.0,1.0
416,OAN,10.0,1.0
417,TLA,9.0,1.0
418,SRO,8.5,0.9581581115980783
419,GGB,10.5,0.93638574231789
420,NEH,7.0,1.0
421,EST,10.5,1.0
422,MRY,9.5,1.0
423,EIC,13.5,1.0
424,GNH,11.0,1.0
425,RIP,9.0,1.0
426,XAN,8.5,1.0
427,HPA,8.5,1.0
428,1MZ,11.5,0.936193497466682
429,ATR,9.0,1.0
430,HCI,9.0,1.0
431,ICT,9.0,1.0
432,CYH,9.0,0.9471883418439955
433,PGH,8.5,1.0
434,DCM,10.0,0.9484569604824088
435,GCO,8.5,1.0
436,COB,12.0,1.0
437,H2S,8.5,0.9193996299157203
438,NAR,10.0,1.0
439,MMC,8.0,1.0
440,DGP,10.5,1.0
441,PLG,9.5,1.0
442,MYC,12.0,0.9483442598903924
443,HSE,10.5,1.0
444,ONL,10.0,1.0
445,DND,11.0,1.0
446,CO8,16.5,1.0
447,4NC,8.0,1.0
448,MNB,9.0,1.0
449,HXA,10.5,1.0
450,3PY,8.0,1.0
451,UAP,12.0,0.9387425886722793
452,DTT,12.5,0.9424422784513294
453,PAC,9.5,1.0
454,EPH,14.0,1.0
455,AU,8.5,1.0
456,BHO,8.5,1.0
457,N2P,8.5,0.945699977077207
458,GCP,11.0,0.9825134622084689
459,16G,12.5,1.0
460,A12,13.5,1.0
461,PP9,10.0,1.0
462,UD2,10.5,1.0
463,HQO,9.0,1.0
464,SCA,11.0,1.0
465,MQ7,15.0,1.0
466,NCN,10.0,1.0
467,IHS,9.5,1.0
468,AMZ,9.0,1.0
469,BAL,10.5,0.9387425886722793
470,AG2,10.5,1.0
471,A5A,10.0,1.0
472,MXE,9.0,0.9108110018390908
473,PTR,8.0,0.9484569604824088
474,RCO,9.5,0.8675960119932213
475,SLT,10.5,1.0
476,NDS,8.5,1.0
477,PXL,9.0,1.0
478,G2P,12.5,0.956424824312666
479,ASO,8.5,1.0
480,XUL,10.0,1.0
481,P34,11.0,0.949488675406195
482,HSX,9.0,0.9786802665453967
483,ACH,9.5,0.9517543859649122
484,TSS,10.0,1.0
485,CE6,11.5,1.0
486,2PN,9.0,1.0
487,211,7.5,1.0
488,NA7,11.0,1.0
489,MVL,9.5,1.0
490,AGI,14.0,1.0
491,CT3,10.0,1.0
492,2BA,9.5,1.0
493,B3P,10.5,0.9518302279825774
494,DGJ,8.5,1.0
495,LU2,9.0,1.0
496,SEY,9.0,0.7494257663135704
497,BMF,10.0,0.945699977077207
498,1KA,9.5,1.0
499,TES,11.5,1.0
500,U10,14.5,1.0
501,ETA,10.0,0.9348399724926484
502,RTL,13.0,1.0
503,TCH,13.0,1.0
504,IPD,9.5,1.0
505,COD,10.5,1.0
506,SBT,12.0,0.9264911064067352
507,G16,12.0,1.0
508,KR,7.5,0.6864509555450757
509,GCD,13.5,0.9563471919941143
510,PQQ,9.5,1.0
511,ENO,12.5,0.9605545943838972
512,DTB,9.5,1.0
513,QPS,10.0,1.0
514,PYZ,10.0,0.8455007650283994
515,PCR,11.0,1.0
516,BA,6.5,0.9051090980210847
517,UGA,10.5,1.0
518,MCT,9.0,0.9332760850990592
519,PIM,11.0,1.0
520,TSA,8.5,1.0
521,PAM,12.0,1.0
522,TRH,10.0,1.0
523,GAB,11.0,1.0
524,KMP,9.0,1.0
525,MER,9.0,1.0
526,CYC,11.0,0.9687928983242571
527,KIV,9.5,1.0
528,128,10.0,1.0
529,CPS,13.5,0.8828423336526138
530,BEM,11.0,0.9378404875209021
531,LGU,12.5,0.8543779240645701
532,DCZ,11.0,1.0
533,HSO,9.0,1.0
534,PIE,12.0,1.0
535,PEF,11.0,1.0
536,GTR,11.0,0.9109400392450459
537,FON,11.0,1.0
538,DLY,11.5,0.9511857892036909
539,JEF,9.5,1.0
540,MCA,11.0,1.0
541,NH4,7.5,1.0
542,GEN,10.5,1.0
543,BML,9.5,0.9447825825997274
544,3GR,8.5,1.0
545,P6G,11.5,1.0
546,DCC,12.5,0.9435759944163069
547,NH3,11.0,0.9073086739977321
548,LEA,8.5,1.0
549,FC6,11.5,0.9309307341415953
550,PL9,15.5,1.0
551,OTP,18.5,1.0
552,XLS,10.5,0.9601281538050872
553,5AD,10.5,1.0
554,BRJ,8.0,0.8158223491381003
555,CM5,11.0,1.0
556,AMV,9.0,0.9659122711568682
557,BO2,8.5,1.0
558,P1T,9.0,1.0
559,6NA,13.5,1.0
560,R78,9.5,1.0
561,PXN,9.0,1.0
562,AIX,8.5,1.0
563,3AM,10.0,1.0
564,RAF,11.0,1.0
565,4MU,11.5,1.0
566,HBX,10.0,0.8954342302724358
567,ALY,9.5,1.0
568,DAH,13.5,1.0
569,DT,12.0,0.9362770287738493
570,0O2,12.0,0.9841473768758501
571,AZM,8.5,1.0
572,ABN,9.5,0.9185499656158105
573,GN1,10.5,1.0
574,CP,7.5,1.0
575,MBN,8.5,1.0
576,A1R,11.0,1.0
577,GDN,12.0,0.9237593384319465
578,ZMR,9.5,1.0
579,E64,8.5,1.0
580,PH2,10.5,1.0
581,TSU,8.5,0.8376293340072545
582,PCA,9.5,1.0
583,PEB,11.0,0.8551214806937127
584,TCA,11.0,1.0
585,MOH,10.0,0.9161625969589056
586,DAR,9.5,1.0
587,FK5,9.5,1.0
588,PP3,10.0,1.0
589,CMC,10.0,1.0
590,CUA,6.5,1.0
591,BLG,9.0,1.0
592,PEA,8.5,1.0
593,TOP,11.0,1.0
594,MCN,9.5,1.0
595,DCA,10.5,1.0
596,HAS,12.5,0.9670835021376782
597,EMC,6.5,0.925
598,ADQ,12.0,0.9488823667502874
599,T44,11.5,1.0
600,PAE,8.0,1.0
601,PEL,9.0,1.0
602,SMA,10.5,1.0
603,FLU,11.5,1.0
604,A5P,8.5,1.0
605,GTB,10.5,1.0
606,TAU,9.0,1.0
607,PIO,9.5,1.0
608,MAW,9.5,1.0
609,RFP,13.0,1.0
610,CPQ,10.5,1.0
611,CAZ,9.5,1.0
612,EGC,10.0,0.9366333727131262
613,PBC,8.5,1.0
614,BER,12.5,1.0
615,G6Q,9.0,1.0
616,MFU,9.5,1.0
617,MED,9.0,1.0
618,BZI,7.5,1.0
619,TPO,10.5,1.0
620,RIO,10.0,1.0
621,HDZ,9.5,0.9389822365046137
622,RMN,11.5,1.0
623,TNR,8.0,1.0
624,AIN,11.0,1.0
625,NCT,9.5,1.0
626,M1P,10.5,1.0
627,TZD,8.5,1.0
628,SM,8.5,0.9267766952966369
629,AAE,8.5,1.0
630,KSA,9.0,1.0
631,PBE,9.0,1.0
632,DGI,10.5,1.0
633,FME,10.0,1.0
634,3TR,8.5,0.9136634176769942
635,D3T,11.0,1.0
636,PIS,10.0,1.0
637,GVE,8.5,1.0
638,VNL,8.0,0.9358186240977473
639,C0R,11.5,0.8710585495278755
640,H4M,13.5,0.9267766952966369
641,EEE,11.0,1.0
642,SA8,9.5,1.0
643,BTI,8.5,1.0
644,VCA,13.0,1.0
645,AT5,8.5,1.0
646,MNH,10.5,1.0
647,5ID,10.5,1.0
648,PCZ,11.0,1.0
649,GIM,9.0,1.0
650,LI,6.5,1.0
651,DU,8.5,1.0
652,B29,10.5,0.7468989122003872
653,DHI,12.0,1.0
654,210,12.0,1.0
655,DC,9.5,1.0
656,FOA,8.0,1.0
657,PBU,12.0,1.0
658,ALE,10.5,0.9213361042105854
659,G39,10.5,1.0
660,SHG,10.0,1.0
661,ERY,12.5,1.0
662,BM3,9.0,1.0
663,PIT,6.0,1.0
664,KDH,10.5,0.9787866487570681
665,EB4,10.0,0.9707107502912299
666,1SQ,10.0,1.0
667,6PC,9.5,0.9136634176769942
668,4CS,8.5,1.0
669,H35,9.0,1.0
670,V55,9.5,1.0
671,X8Z,9.5,1.0
672,8XQ,9.0,1.0
673,Y01,27.5,0.8144778463055994
674,AH0,14.0,1.0
675,AYE,8.0,0.90612494995996
676,ABA,8.5,1.0
677,CBK,9.5,1.0
678,Z80,13.0,1.0
679,3AB,8.5,1.0
680,GGG,8.0,0.8943375672974064
681,JZ3,8.5,1.0
682,MB3,11.0,1.0
683,3CX,10.0,0.9682178902359924
684,8PR,10.0,1.0
685,GFB,10.0,1.0
686,78N,10.0,0.8336605641670425
687,8K6,11.0,0.886788225776266
688,MH0,10.5,1.0
689,O4B,9.0,0.924659532751443
690,1VU,11.0,1.0
691,SAS,10.5,1.0
692,CNA,9.5,1.0
693,PAP,9.0,1.0
694,IOP,9.5,1.0
695,CHO,9.5,0.912568306010929
696,TSN,9.5,0.9023689270621825
697,CFF,9.0,0.8645389465682213
698,NVA,9.5,1.0
699,CEF,8.0,1.0
700,TAT,10.0,1.0
701,SHA,9.0,1.0
702,NEN,7.5,1.0
703,H4B,11.0,1.0
704,HY1,9.0,1.0
705,FFO,10.0,1.0
706,IP2,8.5,1.0
707,RDF,9.0,1.0
708,UVW,13.0,0.8882419523714179
709,TPF,10.0,1.0
710,CHD,12.0,0.826627323841873
711,PDA,9.0,0.9954646412773812
712,ESA,7.0,1.0
713,HSA,9.5,1.0
714,OSB,9.0,1.0
715,SRY,15.5,0.8888888888888888
716,KIF,9.0,1.0
717,N,7.5,1.0
718,YB,9.0,0.7712802253009743
719,ACE,8.5,1.0
720,GA,6.0,1.0
721,LXC,12.0,1.0
722,C15,11.0,0.8937950479564156
723,GCV,11.5,1.0
724,LUM,9.5,1.0
725,DAS,9.0,1.0
726,NG6,12.0,1.0
727,LPA,10.5,1.0
728,PTD,10.5,0.9078131150201075
729,RIT,9.5,1.0
730,DM2,12.0,0.8988768486730786
731,NCO,7.5,1.0
732,2AS,8.5,1.0
733,STI,10.5,1.0
734,LIP,9.5,1.0
735,GTA,13.5,1.0
736,MGP,9.5,1.0
737,PAB,10.0,0.9114931735482136
738,MHA,10.0,0.7844870033682145
739,DXP,8.0,1.0
740,1AC,9.0,1.0
741,AZA,8.5,1.0
742,VDY,16.5,1.0
743,137,9.5,1.0
744,PE7,10.0,1.0
745,ORO,8.5,1.0
746,LYA,10.0,1.0
747,TFB,9.0,1.0
748,HTL,9.0,1.0
749,GS1,11.5,0.891399954154414
750,LAE,9.5,1.0
751,HEE,8.0,0.6666666666666666
752,DHF,11.0,0.9248655564138278
753,CPL,12.0,0.7998833575255985
754,TRT,10.5,0.9662390114243058
755,2HA,7.0,1.0
756,DXE,11.5,1.0
757,SHV,7.5,1.0
758,8OG,9.0,1.0
759,TBN,9.0,1.0
760,AC2,9.0,1.0
761,FUA,11.0,1.0
762,MEV,9.0,1.0
763,PA1,10.5,1.0
764,TDA,9.0,0.9266329687292587
765,DDS,9.5,1.0
766,RUB,11.0,1.0
767,EP1,12.0,1.0
768,RIS,9.0,1.0
769,GAD,11.5,1.0
770,CAO,12.0,1.0
771,12P,17.0,1.0
772,ART,9.5,0.884884556902659
773,OIN,8.5,1.0
774,VK3,12.0,1.0
775,AAL,8.5,0.8926647225990553
776,KMT,8.5,1.0
777,4PT,9.0,1.0
778,THH,9.5,1.0
779,8GT,8.5,1.0
780,DOR,8.0,1.0
781,OH,7.5,1.0
782,P6L,17.5,1.0
783,FUN,10.0,1.0
784,HC3,11.0,1.0
785,TEP,9.0,0.8535373035271293
786,NFA,8.5,1.0
787,DQR,9.5,1.0
788,FDE,10.5,1.0
789,NMY,11.5,1.0
790,PUY,10.0,1.0
791,MIY,9.5,1.0
792,MEE,9.5,1.0
793,GNS,6.5,1.0
794,TDL,9.5,1.0
795,TOU,6.5,0.9440167647792812
796,12Q,10.5,1.0
797,MNR,10.5,1.0
798,MIX,14.0,0.8990186737531832
799,SOP,13.5,1.0
800,NTO,13.0,1.0
801,AC6,10.5,1.0
802,1N1,10.0,1.0
803,COO,10.0,1.0
804,YYY,10.0,1.0
805,JN3,10.0,0.914278732487095
806,9MR,8.5,1.0
807,LSA,8.5,0.9801799810419868
808,KYN,10.0,1.0
809,NOK,9.0,1.0
810,LZ1,10.0,1.0
811,FB2,8.0,1.0
812,ST9,12.0,1.0
813,UQ8,15.5,1.0
814,XI7,9.5,1.0
815,2HG,10.0,1.0
816,S1P,11.0,1.0
817,PAZ,11.0,1.0
818,FTN,7.5,1.0
819,3CN,7.0,1.0
820,FUB,9.0,1.0
821,NGC,7.0,1.0
822,PA0,7.0,1.0
823,P6F,9.5,1.0
824,TS6,9.0,1.0
825,DX4,9.0,1.0
826,GTQ,9.0,1.0
827,CEX,10.0,1.0
828,BDR,8.0,1.0
829,1RG,10.0,1.0
830,XG4,8.0,1.0
831,BXA,9.0,0.898269444593217
832,BUD,8.0,1.0
833,CIY,9.0,1.0
834,BYC,12.0,0.9475669905334615
835,11A,9.5,1.0
836,EVP,9.0,1.0
837,JMS,9.0,1.0
838,PHU,8.0,1.0
839,DB8,11.0,1.0
840,H6P,9.0,1.0
841,POG,8.5,1.0
842,RTZ,10.5,0.9722222222222222
843,ISJ,11.0,1.0
844,GD,7.5,1.0
845,78M,8.5,0.7077017301325039
846,0KX,9.0,1.0
847,RB0,9.5,1.0
848,1FZ,9.0,1.0
849,BYZ,8.5,0.7186715019009343
850,KH2,9.0,0.8466910245063791
851,17F,7.0,0.8626321170840718
852,NVU,9.5,0.891399954154414
853,QI9,9.5,1.0
854,X6X,9.5,1.0
855,UN1,8.5,1.0
856,43Y,9.0,1.0
857,HYP,8.5,1.0
858,GGL,9.0,0.8273268353539885
859,TBP,8.0,1.0
860,ES3,9.5,1.0
861,1KP,9.0,1.0
862,OXE,8.5,1.0
863,PSE,9.5,1.0
864,GPE,7.5,1.0
865,4AP,8.0,1.0
866,NVI,8.5,1.0
867,2AP,7.0,1.0
868,2MZ,8.0,0.8535533905932737
869,SAN,9.5,1.0
870,GTD,11.0,1.0
871,TCK,7.5,1.0
872,AC1,9.0,0.8425752723447213
873,SHF,8.0,1.0
874,NAX,9.5,1.0
